data_pt,px,py,dataset,num_points,q_min,q_max,filename
67,-4.5,31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0067_1D.csv
68,-4.5,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0068_1D.csv
69,-4.5,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0069_1D.csv
70,-4.5,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0070_1D.csv
71,-4.5,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0071_1D.csv
72,-4.5,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0072_1D.csv
73,-4.5,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0073_1D.csv
74,-4.5,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0074_1D.csv
75,-4.5,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0075_1D.csv
76,-4.5,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0076_1D.csv
77,-4.5,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0077_1D.csv
78,-4.5,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0078_1D.csv
79,-4.5,-22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0079_1D.csv
80,-4.5,-27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0080_1D.csv
81,-4.5,-31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0081_1D.csv
82,0.0,31.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0082_1D.csv
83,0.0,27.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0083_1D.csv
84,0.0,22.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0084_1D.csv
85,0.0,18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0085_1D.csv
86,0.0,13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0086_1D.csv
87,0.0,9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0087_1D.csv
88,0.0,4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0088_1D.csv
89,0.0,0.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0089_1D.csv
90,0.0,-4.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0090_1D.csv
91,0.0,-9.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0091_1D.csv
92,0.0,-13.5,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0092_1D.csv
93,0.0,-18.0,JHS002_X_11202019_Processed,1000,1,8,JHS002_X_11202019_VCoSn600_t45_0093_1D.csv
